,Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Employment,"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
4921,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2014,1833,16986,121595,548395
4942,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2015,1849,17023,120238,558173
4963,0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2010,1879,17479,109185,499453
4984,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2011,1907,27870,246589,1059243
5005,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2012,1901,28053,247151,1054564
5025,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2013,1905,27313,251472,1070131
5046,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2014,1904,27644,253035,1102965
5067,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2015,1900,27494,266132,1120360
5088,0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2010,1924,28232,243914,1062391
5109,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2011,891,9606,69216,291068
5130,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2012,888,9270,68679,289314
5151,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2013,854,9065,70092,295155
5172,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2014,849,8984,70529,294695
5193,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2015,853,8668,67205,295500
5214,0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2010,909,9752,65460,289784
5234,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2011,2896,48525,506217,2115690
5255,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2012,2908,47078,510794,2121389
5276,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2013,2867,47625,541963,2207946
5297,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2014,2871,48171,561009,2325238
5318,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2015,2842,49398,577277,2393302
5339,0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2010,2925,53114,490018,2060082
5360,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2011,10635,176356,2071769,8715895
5381,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2012,10701,170366,1970414,8102000
5402,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2013,10764,173304,2080615,8534018
5423,0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2014,10889,180527,2369278,9692661
